motor_catalogador.py | imports=['os', 'ast', 'collections'] | funcoes=2 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\_musllinux.py | imports=['__future__', 'functools', 're', 'subprocess', 'sys', 'typing', '_elffile', 'sysconfig'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\_parser.py | imports=['__future__', 'ast', 'typing', '_tokenizer'] | funcoes=24 | classes=5
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\_structures.py | imports=['typing'] | funcoes=16 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\_tokenizer.py | imports=['__future__', 'contextlib', 're', 'dataclasses', 'typing', 'specifiers'] | funcoes=9 | classes=3
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\licenses\_spdx.py | imports=['__future__', 'typing'] | funcoes=0 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\licenses\__init__.py | imports=['__future__', 're', 'typing', '_spdx'] | funcoes=1 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\__init__.py | imports=['typing', 'pip._internal.utils.entrypoints'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\__main__.py | imports=['os', 'sys', 'pip._internal.cli.main'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\__pip-runner__.py | imports=['sys', 'runpy', 'importlib.machinery', 'os.path'] | funcoes=2 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\build_env.py | imports=['logging', 'os', 'pathlib', 'site', 'sys', 'textwrap', 'collections', 'types', 'typing', 'pip._vendor.certifi', 'pip._vendor.packaging.requirements', 'pip._vendor.packaging.version', 'pip', 'pip._internal.cli.spinners', 'pip._internal.locations', 'pip._internal.metadata', 'pip._internal.utils.subprocess', 'pip._internal.utils.temp_dir', 'pip._internal.index.package_finder'] | funcoes=15 | classes=3
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\cache.py | imports=['hashlib', 'json', 'logging', 'os', 'pathlib', 'typing', 'pip._vendor.packaging.tags', 'pip._vendor.packaging.utils', 'pip._internal.exceptions', 'pip._internal.models.direct_url', 'pip._internal.models.link', 'pip._internal.models.wheel', 'pip._internal.utils.temp_dir', 'pip._internal.utils.urls'] | funcoes=17 | classes=5
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\configuration.py | imports=['configparser', 'locale', 'os', 'sys', 'typing', 'pip._internal.exceptions', 'pip._internal.utils', 'pip._internal.utils.compat', 'pip._internal.utils.logging', 'pip._internal.utils.misc'] | funcoes=24 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\exceptions.py | imports=['configparser', 'contextlib', 'locale', 'logging', 'pathlib', 're', 'sys', 'itertools', 'typing', 'pip._vendor.requests.models', 'pip._vendor.rich.console', 'pip._vendor.rich.markup', 'pip._vendor.rich.text', 'hashlib', 'typing', 'pip._internal.metadata', 'pip._internal.req.req_install', 'pip._internal.utils.hashes', 'pip._internal.utils._log'] | funcoes=39 | classes=33
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\main.py | imports=['typing', 'pip._internal.utils.entrypoints'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\pyproject.py | imports=['importlib.util', 'os', 'collections', 'typing', 'pip._vendor', 'pip._vendor.packaging.requirements', 'pip._internal.exceptions'] | funcoes=3 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\self_outdated_check.py | imports=['datetime', 'functools', 'hashlib', 'json', 'logging', 'optparse', 'os.path', 'sys', 'dataclasses', 'typing', 'pip._vendor.packaging.version', 'pip._vendor.rich.console', 'pip._vendor.rich.markup', 'pip._vendor.rich.text', 'pip._internal.index.collector', 'pip._internal.index.package_finder', 'pip._internal.metadata', 'pip._internal.metadata.base', 'pip._internal.models.selection_prefs', 'pip._internal.network.session', 'pip._internal.utils.compat', 'pip._internal.utils.entrypoints', 'pip._internal.utils.filesystem', 'pip._internal.utils.misc'] | funcoes=11 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\wheel_builder.py | imports=['logging', 'os.path', 're', 'shutil', 'typing', 'pip._vendor.packaging.utils', 'pip._vendor.packaging.version', 'pip._internal.cache', 'pip._internal.exceptions', 'pip._internal.metadata', 'pip._internal.models.link', 'pip._internal.models.wheel', 'pip._internal.operations.build.wheel', 'pip._internal.operations.build.wheel_editable', 'pip._internal.operations.build.wheel_legacy', 'pip._internal.req.req_install', 'pip._internal.utils.logging', 'pip._internal.utils.misc', 'pip._internal.utils.setuptools_build', 'pip._internal.utils.subprocess', 'pip._internal.utils.temp_dir', 'pip._internal.utils.urls', 'pip._internal.vcs'] | funcoes=11 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\__init__.py | imports=['typing', 'pip._internal.utils', 'pip._internal.utils.entrypoints'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\cli\autocompletion.py | imports=['optparse', 'os', 'sys', 'itertools', 'typing', 'pip._internal.cli.main_parser', 'pip._internal.commands', 'pip._internal.metadata'] | funcoes=3 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\cli\base_command.py | imports=['functools', 'logging', 'logging.config', 'optparse', 'os', 'sys', 'traceback', 'optparse', 'typing', 'pip._vendor.rich', 'pip._internal.cli', 'pip._internal.cli.command_context', 'pip._internal.cli.parser', 'pip._internal.cli.status_codes', 'pip._internal.exceptions', 'pip._internal.utils.filesystem', 'pip._internal.utils.logging', 'pip._internal.utils.misc', 'pip._internal.utils.temp_dir', 'pip._internal.utils.temp_dir', 'pip._internal.utils.virtualenv'] | funcoes=9 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py | imports=['importlib.util', 'logging', 'os', 'textwrap', 'functools', 'optparse', 'textwrap', 'typing', 'pip._vendor.packaging.utils', 'pip._internal.cli.parser', 'pip._internal.exceptions', 'pip._internal.locations', 'pip._internal.models.format_control', 'pip._internal.models.index', 'pip._internal.models.target_python', 'pip._internal.utils.hashes', 'pip._internal.utils.misc'] | funcoes=28 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\cli\command_context.py | imports=['contextlib', 'typing'] | funcoes=3 | classes=1
